date,current_energy_generation,realized_load,temperature_celsius
2022-06-10 00:00:00+00:00,11639.557291666666,13594.276041666666,18.162499999999998
2022-06-11 00:00:00+00:00,10675.411458333334,11733.328125,20.791666666666668
2022-06-12 00:00:00+00:00,10733.6328125,11051.552083333334,21.216666666666665
2022-06-13 00:00:00+00:00,12759.0,13835.5234375,18.454166666666666
2022-06-14 00:00:00+00:00,11823.885416666666,13793.453125,18.900000000000002
2022-06-15 00:00:00+00:00,11559.875,13590.333333333334,23.083333333333332
2022-06-16 00:00:00+00:00,11471.294270833334,12105.236979166666,22.870833333333334
2022-06-17 00:00:00+00:00,11678.921875,12848.700520833334,22.666666666666668
2022-06-18 00:00:00+00:00,11541.2109375,11883.598958333334,27.516666666666666
2022-06-19 00:00:00+00:00,11087.4296875,11304.247395833334,27.8
2022-06-20 00:00:00+00:00,11651.174479166666,13751.348958333334,17.787499999999998
2022-06-21 00:00:00+00:00,12371.2265625,13960.419270833334,18.825
2022-06-22 00:00:00+00:00,11339.776041666666,13863.971354166666,22.329166666666666
2022-06-23 00:00:00+00:00,12858.908854166666,13932.0,24.52916666666667
2022-06-24 00:00:00+00:00,12185.677083333334,13953.497395833334,21.162499999999998
2022-06-25 00:00:00+00:00,10732.447916666666,11610.252604166666,20.95
2022-06-26 00:00:00+00:00,10284.348958333334,10925.653645833334,22.258333333333336
2022-06-27 00:00:00+00:00,11973.596354166666,13816.580729166666,19.962500000000002
2022-06-28 00:00:00+00:00,12071.510416666666,13766.2734375,19.841666666666665
2022-06-29 00:00:00+00:00,12415.341145833334,13907.041666666666,22.333333333333332
2022-06-30 00:00:00+00:00,14143.546875,14127.455729166666,24.141666666666666
2022-07-01 00:00:00+00:00,13263.361979166666,13692.958333333334,17.05
2022-07-02 00:00:00+00:00,12051.184895833334,11643.432291666666,19.925
2022-07-03 00:00:00+00:00,11552.75,11062.614583333334,22.2
2022-07-04 00:00:00+00:00,13423.611979166666,13665.729166666666,21.170833333333334
2022-07-05 00:00:00+00:00,13945.2265625,13974.0390625,21.104166666666668
2022-07-06 00:00:00+00:00,13762.190104166666,13899.5390625,18.791666666666668
2022-07-07 00:00:00+00:00,14131.46875,14402.322916666666,17.641666666666666
2022-07-08 00:00:00+00:00,13448.619791666666,13713.692708333334,18.474999999999998
2022-07-09 00:00:00+00:00,12398.208333333334,11798.270833333334,20.3625
